,id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,weightkg,weightstd,W,CP,Pmax,CP WPK,W WPK,Pmax WPK
1,9bdd724b-4148-4bee-9344-9e7a526c7fc1,36,M,21,21,0,0,0,681.0,500.13333,302.2,294.05,285.92332999999996,267.99375,263.05167,230.6275,223.83444,5.09851,4.26751,3.92614,3.4422,3.34081,67.0,0.0,20789.81559083468,216.6629022913257,681.0,3.233774661064563,310.2957550870848,10.164179104477611
2,f43673fa-600b-4b0b-8c3a-ef627347ebe1,46,M,227,3,78,14,132,599.0,562.6,273.13333,259.45,258.35667,252.4,251.075,244.57582999999997,237.47556,4.73721,3.69107,3.64966,3.55519,3.4519800000000003,68.79180176211455,1.6191782823658976,4518.0834500818455,241.42953747954172,599.0,3.5095684557647875,65.67764376495911,8.707432930327537
5,f81b4144-4805-4086-a516-9e348a702e91,55,M,276,276,0,0,0,943.0,698.53333,348.61667,314.81667000000004,275.14667000000003,267.19583,261.48832999999996,244.235,235.00388999999998,6.3825400000000005,4.36741,4.1506099999999995,3.87675,3.7302199999999996,63.0,0.0,16537.945256955834,231.19683576104742,943.0,3.6697910438261494,262.50706757072754,14.968253968253968
6,34d0b9f3-3952-4bab-aa8b-b8d84f966192,37,M,654,567,34,0,53,1162.0,793.4,371.06667000000004,331.48888999999997,315.09667,278.39792,269.74167,242.34917000000002,240.89222,8.24062,5.38627,4.61097,4.0731,4.04861,58.7782874617737,0.4484987412630359,23140.158461538434,224.96031461538468,1162.0,3.8272689513400167,393.6854825276693,19.769204755339352
7,025bad5c-1cfc-4c22-a2e3-2be1ccb70008,42,M,1632,1083,542,3,4,1212.0,541.06667,351.04167,348.03889,336.80667,330.34167,327.395,324.01417000000004,323.98111,5.76245,5.46764,5.31485,5.25997,5.25943,61.59993872549022,0.03697641942136122,4943.96316530279,319.7923386743044,1212.0,5.191439233396079,80.2592221290143,19.675344246705738
9,e32b8a33-c40d-4b96-bc43-5f2d3180b47c,31,M,252,248,0,0,4,1205.0,895.6,426.125,382.83889,347.72167,312.18854,307.20417000000003,291.12375,270.94417000000004,9.209769999999999,5.9952,5.29662,5.019369999999999,4.67145,58.0,0.0,18786.9242553192,275.3190261702127,1205.0,4.746879761555391,323.9124871606759,20.775862068965516
10,590000fe-c401-4d1a-bca3-8444e3d3f861,38,M,721,519,40,0,162,1615.0,889.0,391.6,370.06111,339.99667,322.75,300.69667000000004,290.31333,263.78806000000003,8.03995,4.99995,4.42201,4.17117,3.8284199999999995,68.15742024965326,0.8996162775072765,18477.272052373155,274.9658169067103,1615.0,4.034275591704326,271.09699845875775,23.69514565082466
11,cfd938e6-3fb6-484a-8097-20baffe42827,38,M,179,171,1,0,7,1154.0,1036.8666699999999,394.06667000000004,356.51111000000003,315.62833,306.59479,293.54332999999997,277.47375,264.79222000000004,7.15057,4.2942599999999995,3.99379,3.77515,3.6026199999999995,73.60167597765364,0.3686408166807574,18655.098834697215,262.52504132569555,1154.0,3.5668351004045253,253.46024512215087,15.67899079295923
13,056a7672-cd60-4559-8031-ab5d4e62b87d,58,M,262,129,84,30,19,901.0,860.26667,361.15,346.44444,338.00333,321.54582999999997,308.90667,284.86582999999996,273.70556,5.66784,3.9765099999999998,3.6342,3.3513599999999997,3.22007,85.0,0.0,19071.406811783992,271.38185705400974,901.0,3.1927277300471735,224.3694919033411,10.6
14,87153177-04b1-4b70-b74c-6c5e79b97d03,0,M,30,20,10,0,0,1505.0,566.09731,289.63333,268.95556,252.59332999999998,236.2625,233.95,224.60917,217.01389,4.575740000000001,2.8065900000000004,2.59944,2.49566,2.41127,90.0,0.0,9617.057891980337,216.76860700491,1505.0,2.4085400778323334,106.85619879978152,16.72222222222222
